Equipo,Ganados,Jugados,Estado
América,154,292,CIUDAD DE MÉXICO
Atlas,78,254,JALISCO
Atlético de San Luis,84,250,SAN LUIS POTOSI
Club Tijuana,52,222,BAJA CALIFORNIA
Cruz Azul,106,252,CIUDAD DE MÉXICO
Guadalajara,106,258,JALISCO
Juárez,48,226,CHIHUAHUA
León,90,246,GUANAJUATO
Mazatlán,54,226,SINALOA
Monterrey,130,260,NUEVO LEON
Necaxa,68,232,AGUASCALIENTES
Pachuca,120,256,HIDALGO
Puebla,72,250,PUEBLA
Pumas UNAM,84,248,CIUDAD DE MÉXICO
Querétaro,48,226,QUERETARO DE ARTEAGA
Santos Laguna,82,242,GUERRERO
Tigres UANL,138,276,NEVO LEON
Toluca,102,248,ESTADO DE MÉXICO
